stop_code,name,latitude,longitude
STOP_S_L_PUBLIC_SCHOOL_FAIZPUR,"S.L Public School, Faizpur",28.454525,77.048875
STOP_ARUA,Arua,28.397,77.317275
STOP_AMBEDKAR_CHOWK,Ambedkar Chowk,28.46845,77.04975
STOP_PNB_BANK_YADAV_COLONY,"PNB Bank, Yadav Colony",28.453675,77.04
STOP_POLICE_STATION_SEC_64,Police Station Sec-64,28.471375,77.057425
STOP_MAHARAJA_SAINI_CHOWK,Maharaja Saini Chowk,28.46885,77.038525
STOP_CHANDAWALI_VILLAGE,Chandawali Village,28.39325,77.305675
STOP_SEC_67_68_CHOWK,Sec-67/68 Chowk,28.4552,77.0468
STOP_IMT_MOD_MACHHGARH,IMT Mod Machhgarh,28.359175,76.968575
STOP_SANTOSHI_MATA_MANDIR_MACHHGARH,"Santoshi Mata Mandir, Machhgarh",28.449575,77.039925
STOP_MACHHGARH_VILLAGE,Machhgarh Village,28.4477,77.03285
STOP_MATA_CHOWK_DAYALPUR,"Mata Chowk,Dayalpur",28.395625,77.3055
STOP_JUNEHERA_MOD,Junehera Mod,28.44425,77.03215
STOP_SUB_TEHSIL_DAYALPUR,"Sub-Tehsil, Dayalpur",28.391675,77.321
STOP_ATALI_VILLAGE_MOD,Atali Village Mod,28.443525,77.03465
STOP_MOUJPUR_VILLAGE_MOD,Moujpur Village Mod,28.439025,77.04525
STOP_KMP_MOD,KMP Mod,28.315,76.98
STOP_MOTHUKA_VILLAGE_MOD,Mothuka Village Mod,28.25,77.305
STOP_BHATI_CHOWK_CHHAINSA,"Bhati Chowk, Chhainsa",28.457425,77.04345
STOP_NARIYALA_VILLAGE,Nariyala Village,28.44115,77.032125
STOP_HIRAPUR_VILLAGE_MOD,Hirapur Village Mod,28.446925,77.02935
STOP_MOHNA_BUS_STAND,Mohna Bus Stand,28.21,77.326
STOP_PT_PARSURAM_VATIKA_MOHNA,"Pt.Parsuram Vatika, Mohna",28.391275,77.315975
STOP_MUNSHI_MOD,Munshi Mod,28.439725,77.03755
STOP_B_R_COLLEGE_OF_PHARMACY,B. R. College of Pharmacy,28.45035,77.034525
STOP_BAGHPUR_VILLAGE,Baghpur Village,28.389825,77.3167
STOP_SADUPURA_VILLAGE_MOD,Sadupura village Mod,28.4541,77.033925
STOP_SADUPURA_VILLAGE,Sadupura Village,28.445825,77.036975
STOP_GOVT_SCHOOL_FARIDPUR,"Govt. School, Faridpur",28.466325,77.043425
STOP_ADEL_REDWOOD_RESIDENCY_SECTOR_78,"Adel Redwood Residency,Sector 78",28.369,76.966
STOP_CHANDILA_CHOWK_BHATAULA,"Chandila Chowk,Bhataula",28.46205,77.0433
STOP_GRAM_PANCHYAT_BHATAULA_SECTOR_82,"Gram Panchyat Bhataula,Sector 82",28.385,76.994
STOP_PARK_GRANDEURA_SECTOR_82,"Park Grandeura,Sector 82",28.385,76.994
STOP_BIHARI_MARKET_CHOWK_BHATAULA,"Bihari Market Chowk, Bhataula",28.46565,77.03895
STOP_BUDHENA_VILLAGE_MOD,Budhena Village Mod,28.4475,77.0414
STOP_INSTITUTE_OF_MANAGEMENT_AND_TECHNOLOGY_SECTOR_86,"Institute Of Management and Technology,Sector 86",28.395,77.001
STOP_SECTOR_86_CHOWK,Sector 86 Chowk,28.395,77.001
STOP_AIIMS_BALLABGARH,AIIMS Ballabgarh,28.344,77.318
STOP_TATA_STEEL,Tata Steel,28.436,77.311
STOP_HARDWARE_CHOWK,Hardware Chowk,28.432,77.311
STOP_NIT_1_2_CHOWK,NIT - 1/2 Chowk,28.43,77.311
STOP_NIT_BUS_STAND,NIT Bus Stand,28.427,77.312
STOP_BK_HOSPITAL_CHOWK,BK Hospital chowk,28.423,77.311
STOP_NEELAM_CHOWK,Neelam Chowk,28.408,77.313
STOP_BADARPUR_MOLARBAND,Badarpur Molarband,28.497,77.316
STOP_SARITA_VIHAR,Sarita Vihar,28.53,77.288
STOP_NEHRU_PLACE,Nehru Place,28.548,77.251
STOP_AIIMS_DELHI,AIIMS Delhi,28.567,77.21
STOP_MAHAVEER_CHOWK_GAUSHALA_GROUND,Mahaveer Chowk Gaushala Ground,28.464228,77.034885
STOP_VATIKA_BUSINESS_PARK,Vatika Business Park,28.413,77.083
STOP_SBI_BANK_BADSHAPUR,SBI Bank Badshapur,28.406,77.05
